,Player_Id,Player_Name,No_of_Matches,Bat,Bowl,is_bowler,T_Score,T_Score1,Bat1,T_Score2,Bat2,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017
107,108.0,S Vidyut,8.0,115.0,13.0,0.0,145.0,99.0,80.0,46.0,35.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,109.0,JA Morkel,90.0,712.0,1806.0,1.0,975.0,515.0,397.0,459.0,314.0,3.0,3.0,3.0,3.0,3.0,3.0,2.0,6.0,12.0,0.0
109,110.0,AB de Villiers,125.0,2402.0,0.0,0.0,3486.0,2128.0,1344.0,1345.0,1054.0,6.0,6.0,7.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0
110,111.0,LPC Silva,3.0,27.0,6.0,0.0,40.0,23.0,12.0,17.0,15.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,112.0,DB Ravi Teja,28.0,325.0,18.0,0.0,375.0,227.0,184.0,148.0,141.0,8.0,8.0,0.0,8.0,8.0,11.0,0.0,0.0,0.0,0.0
112,113.0,Misbah-ul-Haq,8.0,82.0,0.0,0.0,117.0,83.0,53.0,34.0,29.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,114.0,YV Takawale,16.0,183.0,0.0,0.0,192.0,62.0,61.0,130.0,122.0,7.0,7.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0
114,115.0,RR Raje,10.0,18.0,144.0,1.0,20.0,9.0,11.0,11.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,116.0,PJ Sangwan,39.0,36.0,836.0,1.0,24.0,12.0,13.0,12.0,23.0,6.0,6.0,6.0,0.0,1.0,1.0,0.0,0.0,13.0,13.0
116,117.0,Mohammad Asif,8.0,6.0,199.0,1.0,3.0,0.0,0.0,3.0,6.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,118.0,GD McGrath,14.0,5.0,329.0,1.0,4.0,0.0,0.0,4.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,119.0,Joginder Sharma,16.0,30.0,272.0,1.0,36.0,16.0,11.0,20.0,19.0,3.0,3.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0
119,120.0,MS Gony,44.0,76.0,925.0,1.0,99.0,68.0,40.0,31.0,36.0,3.0,3.0,3.0,8.0,8.0,4.0,0.0,0.0,0.0,13.0
120,121.0,M Muralitharan,66.0,30.0,1581.0,1.0,20.0,13.0,18.0,7.0,12.0,3.0,3.0,3.0,9.0,2.0,2.0,2.0,0.0,0.0,0.0
121,122.0,M Ntini,9.0,19.0,213.0,1.0,11.0,11.0,13.0,0.0,6.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
122,123.0,DT Patil,2.0,13.0,0.0,0.0,13.0,4.0,1.0,9.0,12.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
123,124.0,A Kumble,42.0,49.0,983.0,1.0,35.0,11.0,16.0,24.0,33.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,125.0,S Anirudha,17.0,121.0,0.0,0.0,136.0,109.0,99.0,27.0,22.0,3.0,0.0,3.0,3.0,3.0,3.0,11.0,0.0,0.0,0.0
125,126.0,MM Patel,63.0,41.0,1381.0,1.0,39.0,10.0,18.0,29.0,23.0,5.0,5.0,5.0,7.0,7.0,7.0,0.0,0.0,0.0,13.0
126,127.0,CK Kapugedera,4.0,24.0,17.0,0.0,16.0,8.0,15.0,8.0,9.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,128.0,A Chopra,7.0,75.0,0.0,0.0,53.0,51.0,72.0,2.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
128,129.0,T Taibu,3.0,26.0,0.0,0.0,31.0,31.0,26.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,130.0,J Arunkumar,3.0,24.0,0.0,0.0,23.0,1.0,3.0,22.0,21.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,131.0,PP Ojha,90.0,45.0,1945.0,1.0,16.0,12.0,30.0,4.0,15.0,8.0,8.0,8.0,8.0,7.0,7.0,7.0,7.0,0.0,0.0
131,132.0,SP Goswami,21.0,260.0,0.0,0.0,241.0,191.0,205.0,50.0,55.0,2.0,2.0,2.0,1.0,5.0,0.0,0.0,0.0,0.0,0.0
132,133.0,SR Tendulkar,78.0,2043.0,37.0,0.0,2329.0,1232.0,1061.0,1097.0,982.0,7.0,1.0,7.0,7.0,7.0,7.0,0.0,0.0,0.0,0.0
133,134.0,U Kaul,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
134,135.0,TM Dilshan,52.0,1047.0,275.0,0.0,1159.0,579.0,530.0,580.0,517.0,6.0,6.0,6.0,2.0,2.0,2.0,0.0,0.0,0.0,0.0
135,136.0,A Mishra,126.0,382.0,2703.0,1.0,340.0,139.0,173.0,201.0,209.0,6.0,6.0,6.0,8.0,8.0,11.0,11.0,6.0,6.0,6.0
136,137.0,AD Mascarenhas,13.0,79.0,310.0,1.0,79.0,44.0,47.0,35.0,32.0,5.0,5.0,5.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0
137,138.0,NK Patel,7.0,124.0,0.0,0.0,121.0,14.0,22.0,107.0,102.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,139.0,LA Pomersbach,18.0,251.0,0.0,0.0,302.0,119.0,85.0,183.0,166.0,4.0,4.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0
139,140.0,Iqbal Abdulla,48.0,86.0,943.0,1.0,88.0,9.0,14.0,79.0,72.0,1.0,0.0,1.0,1.0,1.0,1.0,5.0,2.0,2.0,2.0
140,141.0,Younis Khan,1.0,7.0,0.0,0.0,3.0,0.0,0.0,3.0,7.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,142.0,PM Sarvesh Kumar,2.0,2.0,31.0,1.0,1.0,0.0,0.0,1.0,2.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,143.0,DP Vijaykumar,9.0,1.0,158.0,1.0,1.0,0.0,0.0,1.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
143,144.0,Shoaib Akhtar,3.0,8.0,46.0,1.0,2.0,2.0,8.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,145.0,Abdur Razzak,1.0,2.0,14.0,1.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,146.0,H Das,1.0,5.0,0.0,0.0,2.0,0.0,0.0,2.0,5.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,147.0,DR Smith,91.0,1803.0,557.0,1.0,2385.0,1105.0,914.0,1280.0,889.0,7.0,8.0,8.0,0.0,7.0,7.0,3.0,3.0,13.0,13.0
147,148.0,SD Chitnis,10.0,92.0,38.0,0.0,99.0,62.0,60.0,37.0,32.0,7.0,5.0,0.0,4.0,4.0,0.0,0.0,0.0,0.0,0.0
148,149.0,CRD Fernando,10.0,3.0,249.0,1.0,4.0,0.0,0.0,4.0,3.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,150.0,VS Yeligati,2.0,2.0,32.0,1.0,2.0,0.0,0.0,2.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
